# Funções extraídas de libfs16.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
000000000025c654   | _ZN3Cki4ListINS_6EffectELi0EE7addLastEPS1_ | Cki::List<Cki::Effect, 0>::addLast(Cki::Effect*)
0000000000264f80   | _ZNK3Cki16RingModProcessor9isInPlaceEv   | Cki::RingModProcessor::isInPlace() const
00000000002e6048   | jinit_c_main_controller                  | jinit_c_main_controller
00000000002af1ec   | _ZN9MenuFrameC2Ejj                       | MenuFrame::MenuFrame(unsigned int, unsigned int)
000000000021743c   | _ZN13GameStateBase16updateAiGuiStateEP7Vehicle | GameStateBase::updateAiGuiState(Vehicle*)
000000000021e668   | _ZN20GameStateInGameStats9onMessageEji   | GameStateInGameStats::onMessage(unsigned int, int)
0000000000246b48   | _ZN15AndroidActivity14resetFpsValuesEv   | AndroidActivity::resetFpsValues()
000000000024db48   | _ZN3Cki9AudioNode8shutdownEv             | Cki::AudioNode::shutdown()
000000000025b858   | _ZN11CkEffectBusD0Ev                     | CkEffectBus::~CkEffectBus()
00000000002b4ce8   | _ZN14SettingsScreen15updateGUIValuesEP7Adapter | SettingsScreen::updateGUIValues(Adapter*)
0000000000256af0   | _ZN3Cki9AudioUtil14resampleStereoEPKfiPfiS3_ | Cki::AudioUtil::resampleStereo(float const*, int, float*, int, float*)
0000000000267498   | _ZNK3Cki5Sound14getMixedVolumeEv         | Cki::Sound::getMixedVolume() const
0000000000326018   | inflateInit_                             | inflateInit_
00000000002b1cb4   | _ZN15TextInputButton22addCharToCurrentStringEj | TextInputButton::addCharToCurrentString(unsigned int)
00000000002ba98c   | _ZNSt6__ndk118__insertion_sort_3IRPFbRKN10ShopScreen9sShopDataES4_EPS2_EEvT0_S9_T_ | void std::__ndk1::__insertion_sort_3<bool (*&)(ShopScreen::sShopData const&, ShopScreen::sShopData const&), ShopScreen::sShopData*>(ShopScreen::sShopData*, ShopScreen::sShopData*, bool (*&)(ShopScreen::sShopData const&, ShopScreen::sShopData const&))
000000000021a0e4   | _ZN10IGameState12getNextStateEv          | IGameState::getNextState()
000000000021a35c   | _ZN14GameStateDebugC2EP7Adapter          | GameStateDebug::GameStateDebug(Adapter*)
0000000000244d2c   | _ZN24HandheldSystemDeviceBase18loadFilesFromCloudEjPPKcPPhPjPbS6_Pcb | HandheldSystemDeviceBase::loadFilesFromCloud(unsigned int, char const**, unsigned char**, unsigned int*, bool*, bool*, char*, bool)
0000000000264c44   | _ZN3Cki9RawWriterC1EPKcb                 | Cki::RawWriter::RawWriter(char const*, bool)
00000000002c838c   | _ZN8MathUtil19lineLineIntersect3DERK7Vector3S2_S2_S2_RS0_ | MathUtil::lineLineIntersect3D(Vector3 const&, Vector3 const&, Vector3 const&, Vector3 const&, Vector3&)
0000000000375dc8   | _ZNKSt6__ndk114error_category23default_error_conditionEi | std::__ndk1::error_category::default_error_condition(int) const
0000000000196fec   | _ZN4Bale13enqueueRenderEP24GLESHandheldRenderDevice | Bale::enqueueRender(GLESHandheldRenderDevice*)
00000000001dddbc   | _ZN7Vehicle14toggleActivateE8PlayMode    | Vehicle::toggleActivate(PlayMode)
000000000023d414   | _ZN24GLESHandheldRenderDevice12setAlphaTestEb | GLESHandheldRenderDevice::setAlphaTest(bool)
