# Funções extraídas de libfs14.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
000000000013661c   | _ZN19ServerListBackplateD1Ev             | ServerListBackplate::~ServerListBackplate()
0000000000129d3c   | _ZN12OptionButtonC2Ej9eOptionIDiiii16eScreenAlignment17eElementAlignment | OptionButton::OptionButton(unsigned int, eOptionID, int, int, int, int, eScreenAlignment, eElementAlignment)
00000000002744e8   | _ZNSt6__ndk112ctype_bynameIcED1Ev        | std::__ndk1::ctype_byname<char>::~ctype_byname()
000000000013a040   | _ZN14SettingsButton13ToggleSettingEv     | SettingsButton::ToggleSetting()
0000000000170938   | _ZN15GameMultiplayer24getVehicleRemoteControlsEjRfS0_ | GameMultiplayer::getVehicleRemoteControls(unsigned int, float&, float&)
0000000000277ad8   | _ZNSt6__ndk115__codecvt_utf16IDiLb1EED0Ev | std::__ndk1::__codecvt_utf16<char32_t, true>::~__codecvt_utf16()
00000000002129dc   | _ZNK3Cki10SampleInfo5writeERNS_12BinaryStreamE | Cki::SampleInfo::write(Cki::BinaryStream&) const
0000000000176f70   | _ZN3Map20getIsFuelTankInRangeEff         | Map::getIsFuelTankInRange(float, float)
0000000000270034   | _ZNSt6__ndk18numpunctIcED1Ev             | std::__ndk1::numpunct<char>::~numpunct()
00000000001ae39c   | _ZN17CricketCustomFileD0Ev               | CricketCustomFile::~CricketCustomFile()
00000000001bfc7c   | _ZN10LogManager11getInstanceEv           | LogManager::getInstance()
000000000025af3c   | _ZNKSt6__ndk18time_getIwNS_19istreambuf_iteratorIwNS_11char_traitsIwEEEEE15__get_monthnameERiRS4_S4_RjRKNS_5ctypeIwEE | std::__ndk1::time_get<wchar_t, std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> > >::__get_monthname(int&, std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> >&, std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> >, unsigned int&, std::__ndk1::ctype<wchar_t> const&) const
0000000000115204   | _ZN17GenericGUIManager15genericCallbackILNS_11eCallbackIDE46EEE17eINPUTRETURNCODESPvP16GUIInterfaceDesc | eINPUTRETURNCODES GenericGUIManager::genericCallback<(GenericGUIManager::eCallbackID)46>(void*, GUIInterfaceDesc*)
000000000025120c   | _ZNKSt6__ndk17num_getIwNS_19istreambuf_iteratorIwNS_11char_traitsIwEEEEE6do_getES4_S4_RNS_8ios_baseERjS8_ | std::__ndk1::num_get<wchar_t, std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> > >::do_get(std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> >, std::__ndk1::istreambuf_iterator<wchar_t, std::__ndk1::char_traits<wchar_t> >, std::__ndk1::ios_base&, unsigned int&, unsigned int&) const
0000000000176d44   | _ZN3Map17getTipSiteInRangeEffN9FruitUtil10FILL_TYPESEP4Game | Map::getTipSiteInRange(float, float, FruitUtil::FILL_TYPES, Game*)
0000000000269824   | _ZNSt6__ndk16locale14__install_ctorERKS0_PNS0_5facetEl | std::__ndk1::locale::__install_ctor(std::__ndk1::locale const&, std::__ndk1::locale::facet*, long)
00000000001ab554   | _ZN24GLESHandheldRenderDevice29finishShaderAttributeBindingsEv | GLESHandheldRenderDevice::finishShaderAttributeBindings()
0000000000287ef8   | _ZNSt9bad_allocC1Ev                      | std::bad_alloc::bad_alloc()
000000000021bd00   | _ZN3Cki14RunningAverageC2EPfi            | Cki::RunningAverage::RunningAverage(float*, int)
