# Funções extraídas de libfs18.so
# Endereço           | Nome Original                            | Nome Demangled
----------------------------------------------------------------------------------------------------
00000000003855bc   | _ZNKSt6__ndk17num_putIcNS_19ostreambuf_iteratorIcNS_11char_traitsIcEEEEE6do_putES4_RNS_8ios_baseEcx | std::__ndk1::num_put<char, std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> > >::do_put(std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> >, std::__ndk1::ios_base&, char, long long) const
00000000002b004c   | _ZN3Cki6String6appendEPKci               | Cki::String::append(char const*, int)
0000000000385a98   | _ZNKSt6__ndk17num_putIcNS_19ostreambuf_iteratorIcNS_11char_traitsIcEEEEE6do_putES4_RNS_8ios_baseEcy | std::__ndk1::num_put<char, std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> > >::do_put(std::__ndk1::ostreambuf_iterator<char, std::__ndk1::char_traits<char> >, std::__ndk1::ios_base&, char, unsigned long long) const
000000000039e068   | _ZNKSt6__ndk112ctype_bynameIwE11do_scan_notEmPKwS3_ | std::__ndk1::ctype_byname<wchar_t>::do_scan_not(unsigned long, wchar_t const*, wchar_t const*) const
00000000002add38   | _ZN3Cki10FileWriter5flushEv              | Cki::FileWriter::flush()
00000000002c64ec   | _ZN8MenuItem12onDeselectedEv             | MenuItem::onDeselected()
0000000000326b30   | _ZN14dtNavMeshQuery20updateSlicedFindPathEiPi | dtNavMeshQuery::updateSlicedFindPath(int, int*)
00000000002d99b8   | _ZN12DialogScreen24setChoiceButtonCallbacksEji | DialogScreen::setChoiceButtonCallbacks(unsigned int, int)
00000000002a6e10   | _ZN3Cki11AudioStreamC2Ev                 | Cki::AudioStream::AudioStream()
00000000003ac658   | _ZNSt6__ndk111timed_mutexD1Ev            | std::__ndk1::timed_mutex::~timed_mutex()
00000000002f36c8   | _ZN9MenuFrame18processJoypadInputEjjRjS0_ | MenuFrame::processJoypadInput(unsigned int, unsigned int, unsigned int&, unsigned int&)
0000000000280eec   | _ZN21GenericHandheldServer14startAcceptingEv | GenericHandheldServer::startAccepting()
000000000031990c   | _ZNK8tinyxml27XMLNode22PreviousSiblingElementEPKc | tinyxml2::XMLNode::PreviousSiblingElement(char const*) const
00000000002e6790   | _ZN14HUDAccelerator8doUpdateEf           | HUDAccelerator::doUpdate(float)
00000000001da988   | _ZN14ParticleSystem18updateVertexBufferEv | ParticleSystem::updateVertexBuffer()
00000000002ad7b0   | _ZN3Cki11FixedStringILi128EEaSERKS1_     | Cki::FixedString<128>::operator=(Cki::FixedString<128> const&)
00000000001ea3bc   | _ZN16TireTrackManager25removeOverlappingSegmentsERK6b2Vec2f | TireTrackManager::removeOverlappingSegments(b2Vec2 const&, float)
000000000028c9d0   | _ZN3Cki4Bank7newBankEPKc10CkPathTypeii   | Cki::Bank::newBank(char const*, CkPathType, int, int)
00000000002d0b18   | _ZN13GenericButton13setIsReleasedEb      | GenericButton::setIsReleased(bool)
00000000002b01bc   | _ZNK3Cki6String7compareEPKcb             | Cki::String::compare(char const*, bool) const
0000000000255718   | _ZN25GameStateFrontEndSettingsC2EP7AdapterP11DialogStack | GameStateFrontEndSettings::GameStateFrontEndSettings(Adapter*, DialogStack*)
00000000002643a0   | _ZN9b2Fixture4DumpEi                     | b2Fixture::Dump(int)
00000000002848fc   | _ZN15AndroidActivity13enableSensorsEb    | AndroidActivity::enableSensors(bool)
00000000002904ac   | _ZN3Cki9AudioUtil11mix_defaultEPKiPii    | Cki::AudioUtil::mix_default(int const*, int*, int)
